UID,Generation,Cost,Parent_A,Parent_B
chrom_ce4c2bda,12,163050.475,chrom_3745f85d,chrom_093ec6ec
chrom_7ce69aba,12,166977.1691,chrom_f40f3e7c,chrom_460b19bd
chrom_ad1ced79,12,169613.7845,chrom_f40f3e7c,chrom_f8f1b6cf
chrom_721a7a0c,12,169629.0349,chrom_3e389109,chrom_ca408ef6
chrom_3e389109,8,145060.5421,chrom_61e32095,chrom_ed16ea6f
chrom_3745f85d,8,149017.2824,chrom_fffccc29,chrom_b197cf15
chrom_c7489acf,13,149225.3801,chrom_3e389109,chrom_f07a9d47
chrom_771ab97f,13,155108.5488,chrom_f07a9d47,chrom_a2b16d96
chrom_9dbe964c,13,157951.6512,chrom_cbe3e06b,chrom_f07a9d47
chrom_d68059df,13,160867.7556,chrom_cbe3e06b,chrom_7ce69aba
chrom_247306a8,13,161100.6382,chrom_3e389109,chrom_cbe3e06b
chrom_2e905803,13,162460.7771,chrom_3418b3cf,chrom_ce4c2bda
chrom_b3b16682,13,168371.0325,chrom_3e389109,chrom_a2b16d96
chrom_efe6842a,13,168501.2863,chrom_3e389109,chrom_3745f85d
chrom_3e389109,8,145060.5421,chrom_61e32095,chrom_ed16ea6f
chrom_3745f85d,8,149017.2824,chrom_fffccc29,chrom_b197cf15
chrom_633e8cb0,14,156521.4782,chrom_3e389109,chrom_247306a8
chrom_63f8198d,14,161398.9677,chrom_3745f85d,chrom_d68059df
chrom_34b4642f,14,161632.334,chrom_3e389109,chrom_771ab97f
chrom_1967c1a9,14,161643.9531,chrom_3e389109,chrom_3745f85d
chrom_e9cef4b8,14,165574.358,chrom_d68059df,chrom_2e905803
chrom_f26d48bb,14,168546.575,chrom_c7489acf,chrom_d68059df
chrom_de8dd6f5,14,168898.1653,chrom_c7489acf,chrom_247306a8
chrom_53277a3f,14,170174.5365,chrom_771ab97f,chrom_247306a8
chrom_3e389109,8,145060.5421,chrom_61e32095,chrom_ed16ea6f
chrom_3745f85d,8,149017.2824,chrom_fffccc29,chrom_b197cf15
chrom_4cbaaf09,15,156288.9497,chrom_63f8198d,chrom_1967c1a9
chrom_cde65ff3,15,157541.5653,chrom_3e389109,chrom_e9cef4b8
chrom_bca792b5,15,160106.1001,chrom_63f8198d,chrom_34b4642f
chrom_c3ba4e69,15,161268.5478,chrom_3745f85d,chrom_63f8198d
chrom_931994c0,15,161788.5329,chrom_63f8198d,chrom_1967c1a9
chrom_1bd780ea,15,164660.8342,chrom_3745f85d,chrom_63f8198d
chrom_382504d9,15,170467.5875,chrom_34b4642f,chrom_f26d48bb
chrom_65a9e6e0,15,170856.5125,chrom_633e8cb0,chrom_e9cef4b8
