route_count,total_fleet,sample_size,route_index,route_id,allocation_mean,allocation_std,allocation_cv,demand_mean,demand_std,demand_cv
38,2000,1000,32,R32_Suarez_Tibanga,20.57142857,6.37330743,0.30981356,905.28571429,457.12351150,0.50494944
38,2000,1000,33,R33_Ditucalan_Palao,74.14285714,2.96808420,0.04003196,10709.28571429,798.15426961,0.07452918
38,2000,1000,34,R34_UpperTominobo_Palao,68.42857143,5.47287684,0.07997941,9210.28571429,1396.24337829,0.15159610
38,2000,1000,35,R35_Buruun_Tipanoy,27.85714286,6.86606562,0.24647415,1593.00000000,720.26198937,0.45214186
38,2000,1000,36,R36_Tubod_Kiwalan,124.00000000,4.16333200,0.03357526,30058.57142857,2057.79897440,0.06845964
38,2000,1000,37,R37_Palao_SantaFilomena,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
38,2000,1500,0,R00_Tubod_Tibanga,10.00000000,2.64575131,0.26457513,312.42857143,135.81219526,0.43469838
38,2000,1500,1,R01_Tubod_Tominobo,26.71428571,2.87020822,0.10744095,2131.14285714,417.39007678,0.19585270
38,2000,1500,2,R02_Palao_Kiwalan,66.85714286,6.56832225,0.09824414,13310.28571429,2349.22673195,0.17649709
38,2000,1500,3,R03_Buruun_Palao,124.71428571,3.03942350,0.02437109,46026.57142857,2309.41939725,0.05017579
38,2000,1500,4,R04_Tambacan_Tibanga,2.42857143,1.61834719,0.66637825,24.85714286,30.94311217,1.24483785
38,2000,1500,5,R05_Tubod_Tipanoy,32.14285714,3.71611676,0.11561252,3098.00000000,774.45421642,0.24998522
38,2000,1500,6,R06_MariaCristina_Tubod,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
38,2000,1500,7,R07_Palao_Luinab,30.28571429,1.60356745,0.05294798,2734.14285714,283.81944294,0.10380564
38,2000,1500,8,R08_Dalipuga_Palao,144.00000000,5.03322296,0.03495294,61436.85714286,4060.28219169,0.06608870
38,2000,1500,9,R09_Buruun_Tubod,30.28571429,4.02965200,0.13305455,2768.71428571,775.85516567,0.28022218
38,2000,1500,10,R10_Tominobo_Tibanga,10.57142857,3.15473944,0.29842130,355.85714286,191.41092669,0.53788699
38,2000,1500,11,R11_Tipanoy_Palao,134.57142857,4.07664661,0.03029355,53399.00000000,2915.66276056,0.05460145
38,2000,1500,12,R12_Luinab_Tibanga,18.14285714,1.77281052,0.09771397,975.14285714,164.03904878,0.16822053
38,2000,1500,13,R13_Bonbonon_Kiwalan,108.57142857,4.39155033,0.04044849,34850.00000000,2391.50196878,0.06862273
38,2000,1500,14,R14_Ditucalan_Tubod,73.28571429,3.63841933,0.04964705,15884.71428571,1382.95429116,0.08706196
38,2000,1500,15,R15_VillaVerde_Palao,9.42857143,1.71824939,0.18223857,278.57142857,90.78519913,0.32589559
38,2000,1500,16,R16_UpperTominobo_Tubod,26.85714286,7.12807995,0.26540723,2274.00000000,925.58792127,0.40703075
38,2000,1500,17,R17_BagongSilang_Palao,4.71428571,1.38013112,0.29275509,80.71428571,45.90829368,0.56877532
38,2000,1500,18,R18_SanMiguel_Tibanga,4.42857143,2.14919697,0.48530254,69.00000000,53.62213473,0.77713239
38,2000,1500,19,R19_DelCarmen_Luinab,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
38,2000,1500,20,R20_Pugaan_Tibanga,74.14285714,3.76069902,0.05072234,16273.28571429,1448.40782865,0.08900525
38,2000,1500,21,R21_Abuno_Tubod,31.14285714,3.02371578,0.09709179,2883.28571429,552.65471869,0.19167532
38,2000,1500,22,R22_SantaFilomena_Tibanga,2.85714286,3.28778403,1.15072441,54.28571429,102.08120017,1.88044316
38,2000,1500,23,R23_Acmac_Kiwalan,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
38,2000,1500,24,R24_Kabacsanan_Kiwalan,220.28571429,4.15187852,0.01884770,143025.42857143,5737.79518797,0.04011731
38,2000,1500,25,R25_Bunawan_Dalipuga,176.14285714,5.52052447,0.03134118,91778.14285714,5502.95052460,0.05995927
38,2000,1500,26,R26_Dalipuga_Tibanga,27.14285714,3.67099312,0.13524711,2227.00000000,558.30636751,0.25069886
38,2000,1500,27,R27_Bonbonon_Palao,202.00000000,6.05530071,0.02997674,120676.14285714,6715.27540832,0.05564708
38,2000,1500,28,R28_MariaCristina_Tipanoy,40.42857143,4.03555625,0.09981941,4895.71428571,1032.15465803,0.21082821
38,2000,1500,29,R29_Buruun_Tominobo,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
38,2000,1500,30,R30_Tambacan_Luinab,25.57142857,2.99205297,0.11700766,1957.28571429,492.97150502,0.25186487
38,2000,1500,31,R31_Center_Kiwalan,25.71428571,3.81725406,0.14844877,2003.71428571,571.46470124,0.28520269
38,2000,1500,32,R32_Suarez_Tibanga,20.57142857,4.46680881,0.21713654,1303.42857143,624.69428714,0.47927006
38,2000,1500,33,R33_Ditucalan_Palao,77.14285714,4.41318371,0.05720794,17635.42857143,1983.74829192,0.11248654
38,2000,1500,34,R34_UpperTominobo_Palao,68.42857143,5.91205387,0.08639745,13980.28571429,2575.30332934,0.18420964
38,2000,1500,35,R35_Buruun_Tipanoy,24.00000000,5.80229840,0.24176243,1830.71428571,922.55365052,0.50393098
38,2000,1500,36,R36_Tubod_Kiwalan,121.42857143,3.30943816,0.02725420,43628.71428571,3006.53896889,0.06891193
38,2000,1500,37,R37_Palao_SantaFilomena,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
38,2000,2000,0,R00_Tubod_Tibanga,9.28571429,1.49602648,0.16111054,349.42857143,114.00710086,0.32626726
38,2000,2000,1,R01_Tubod_Tominobo,25.14285714,1.86445447,0.07415444,2461.28571429,378.32248778,0.15370929
38,2000,2000,2,R02_Palao_Kiwalan,64.42857143,3.25868802,0.05057831,16398.42857143,1631.36710125,0.09948314
38,2000,2000,3,R03_Buruun_Palao,125.42857143,2.63673680,0.02102182,61870.00000000,2959.78912537,0.04783884
38,2000,2000,4,R04_Tambacan_Tibanga,2.57142857,1.27241802,0.49482923,31.28571429,31.31939913,1.00107668
38,2000,2000,5,R05_Tubod_Tipanoy,31.85714286,4.52506248,0.14204232,4153.42857143,1069.87099801,0.25758743
38,2000,2000,6,R06_MariaCristina_Tubod,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
38,2000,2000,7,R07_Palao_Luinab,30.71428571,1.38013112,0.04493450,3764.28571429,410.29489975,0.10899675
38,2000,2000,8,R08_Dalipuga_Palao,146.00000000,4.86483984,0.03332082,84081.57142857,5869.33837433,0.06980529
38,2000,2000,9,R09_Buruun_Tubod,25.85714286,4.25944329,0.16472985,2687.14285714,881.93620869,0.32820593
38,2000,2000,10,R10_Tominobo_Tibanga,12.28571429,2.56347978,0.20865533,612.00000000,220.62562559,0.36049939
38,2000,2000,11,R11_Tipanoy_Palao,135.42857143,4.64962876,0.03433270,72139.57142857,4356.01652343,0.06038318
38,2000,2000,12,R12_Luinab_Tibanga,18.14285714,0.89973541,0.04959172,1332.28571429,165.79778274,0.12444612
38,2000,2000,13,R13_Bonbonon_Kiwalan,109.57142857,2.87849167,0.02627046,47218.85714286,2452.69983410,0.05194323
38,2000,2000,14,R14_Ditucalan_Tubod,72.71428571,2.69037084,0.03699921,20959.00000000,1656.78413400,0.07904882
38,2000,2000,15,R15_VillaVerde_Palao,10.28571429,1.38013112,0.13417941,420.57142857,115.79703097,0.27533261
38,2000,2000,16,R16_UpperTominobo_Tubod,26.57142857,4.42933941,0.16669557,2895.42857143,927.85592580,0.32045547
38,2000,2000,17,R17_BagongSilang_Palao,4.28571429,1.60356745,0.37416574,79.14285714,45.53177854,0.57531128
38,2000,2000,18,R18_SanMiguel_Tibanga,4.85714286,1.06904497,0.22009749,105.42857143,46.86098997,0.44448093
38,2000,2000,19,R19_DelCarmen_Luinab,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
38,2000,2000,20,R20_Pugaan_Tibanga,73.14285714,2.41029538,0.03295326,21141.57142857,1617.56585205,0.07651115
38,2000,2000,21,R21_Abuno_Tubod,32.14285714,2.41029538,0.07498697,4116.14285714,693.87208921,0.16857337
38,2000,2000,22,R22_SantaFilomena_Tibanga,3.71428571,2.56347978,0.69016763,77.57142857,76.75036839,0.98941543
38,2000,2000,23,R23_Acmac_Kiwalan,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
38,2000,2000,24,R24_Kabacsanan_Kiwalan,224.57142857,5.59336341,0.02490683,198097.57142857,10002.99979768,0.05049532
38,2000,2000,25,R25_Bunawan_Dalipuga,177.00000000,3.05505046,0.01726017,123242.28571429,5420.60948954,0.04398336
