Best_Parent,Worst_Parent,Child_Cost,Status
307.14223802814627,1804.0670833908637,952.740252834333,Interpolation (In between)
308.97970074385097,1804.0670833908637,899.7341543705204,Interpolation (In between)
308.9930746317654,589.5548345361057,527.1490582152882,Interpolation (In between)
309.45530430634057,1804.0670833908637,899.4529758635698,Interpolation (In between)
309.8948901790029,1804.0670833908637,922.4396811230099,Interpolation (In between)
310.05183226161967,430.0185648506166,317.538508858771,Interpolation (In between)
310.73020717098825,480.803245433746,322.838948493918,Interpolation (In between)
311.04300745676824,405.5161236595925,390.72650658756953,Interpolation (In between)
311.06299390003744,566.7444708014891,441.6662036533719,Interpolation (In between)
311.68617443052847,594.677696077396,384.57223906070857,Interpolation (In between)
313.27889764340125,361.40640585564466,383.92281011914815,Destructive (Worse than both)
313.4699156777753,1804.0670833908637,799.3078936484692,Interpolation (In between)
314.1797659382529,403.49564685657276,322.44973945216657,Interpolation (In between)
315.00110252350396,551.2727728824018,517.9965407266623,Interpolation (In between)
315.5789101702344,469.05586639697367,362.300802559325,Interpolation (In between)
315.8421692558042,588.2691744659962,640.1012467360906,Destructive (Worse than both)
316.1143582071038,617.0592397997626,433.47994351169643,Interpolation (In between)
316.5586667992775,472.38240017663276,257.74939877727587,Synergy (Better than both)
316.8178119074346,457.6956102843867,348.26170287137734,Interpolation (In between)
317.9844607026888,645.219523419018,539.588076384822,Interpolation (In between)
318.7088786493222,468.8032854852814,326.519874101342,Interpolation (In between)
318.83722886745403,1804.0670833908637,854.2374721254992,Interpolation (In between)
318.8439157170999,423.20723452291577,380.10742167288106,Interpolation (In between)
318.974064353209,626.2239454951092,574.0376316631991,Interpolation (In between)
319.1925386442439,502.44837822343374,357.9200000980914,Interpolation (In between)
319.7053961695446,1804.0670833908637,1013.1396909634196,Interpolation (In between)
321.09465753976,326.69815050239254,341.4765985016779,Destructive (Worse than both)
321.73578453151435,584.6660813384516,582.5162624422544,Interpolation (In between)
321.8924570896358,697.3683726708507,515.2217713255716,Interpolation (In between)
323.18957855015503,339.5879398129043,327.61559388826663,Interpolation (In between)
325.06276022241457,383.5611699509253,327.11616302848256,Interpolation (In between)
325.9354679768427,1804.0670833908637,939.6874565737803,Interpolation (In between)
326.20159271235855,1804.0670833908637,896.32477697734,Interpolation (In between)
326.213247863848,437.4707373114385,415.37718815283375,Interpolation (In between)
326.4609936636524,671.8594678494599,617.5259687295184,Interpolation (In between)
327.34298948805395,543.8858986491298,432.29191097885746,Interpolation (In between)
327.3607990464683,491.17472341931455,386.172573282999,Interpolation (In between)
328.540132487381,1804.0670833908637,898.6378783285202,Interpolation (In between)
328.6454298865835,642.7760397225114,590.3449748258959,Interpolation (In between)
328.91693242601434,1804.0670833908637,899.4201374133518,Interpolation (In between)
328.95371366568475,1804.0670833908637,1000.0394645429108,Interpolation (In between)
329.2186488080013,787.9935049967917,665.5562875316139,Interpolation (In between)
329.59614004996934,1804.0670833908637,893.0573265354107,Interpolation (In between)
329.6175882340004,425.7567931822988,440.1426686914241,Destructive (Worse than both)
329.9756687798521,497.4498697284857,289.7632912490428,Synergy (Better than both)
330.404770994929,1804.0670833908637,899.1295728840037,Interpolation (In between)
330.898225658951,572.9042405905841,528.4211887679547,Interpolation (In between)
332.4501005785661,1804.0670833908637,853.4442169333377,Interpolation (In between)
332.93531696991914,446.33933845288135,304.5545668430314,Synergy (Better than both)
333.2721865675469,400.1323851348585,371.8343188958952,Interpolation (In between)
333.8625031678161,875.5209443861137,598.2783488057698,Interpolation (In between)
334.0962042411945,760.8342274582401,633.3735193958969,Interpolation (In between)
334.1295618502603,531.6407066029174,465.47728709433693,Interpolation (In between)
334.2839204572618,589.4246317815739,465.38464631720495,Interpolation (In between)
334.30905517316967,464.79294359447874,582.4815927936621,Destructive (Worse than both)
334.3945337072512,1804.0670833908637,817.4183497672484,Interpolation (In between)
336.4545350050977,522.2658718001751,327.97629741635194,Synergy (Better than both)
336.79261304783364,531.4603030699053,395.1463914845027,Interpolation (In between)
