Best_Parent,Worst_Parent,Child_Cost,Status,Worst_Parent_Smooth
646.2239984523464,1157.8723919133831,830.1818643539868,Interpolation,1047.8272125386661
646.2404100282017,1157.8723919133831,1069.922093657401,Interpolation,1048.1650495443232
646.2509657095433,652.8328105182911,550.7450164048513,Synergy,1048.165049544323
646.253345003259,1157.8723919133831,1217.8130234029838,Destructive,1046.648787853884
646.264791207324,793.37379127237,652.3421608459909,Interpolation,1048.5442057643
646.2860258839601,1157.8723919133831,1045.9561496094293,Interpolation,1049.9725723683946
646.287008544194,1157.8723919133831,1153.5613811075941,Interpolation,1049.9725723683946
646.325030941205,1157.8723919133831,952.8241653917183,Interpolation,1051.6967651990724
646.3667822171051,1157.8723919133831,980.605082009668,Interpolation,1051.6967651990724
646.3906093497469,1157.8723919133831,962.7419685807697,Interpolation,1053.698643096043
646.4001238981778,1157.8723919133831,1060.6506203710214,Interpolation,1053.698643096043
646.400569485929,1157.8723919133831,797.8282516542588,Interpolation,1053.2887991932907
646.4041540031587,827.1193737071551,732.3141683609731,Interpolation,1052.574636627413
646.417102664875,1157.8723919133831,1042.5702112379981,Interpolation,1054.5332145915838
646.4563245006842,798.6383206285776,767.272251985097,Interpolation,1052.5753404562956
646.467559499077,661.6736480827957,566.4970121838794,Synergy,1052.5753404562956
646.5049608782954,1157.8723919133831,851.7967136561556,Interpolation,1050.625688296069
646.5591624658891,649.2824011504439,788.0892838901377,Destructive,1050.6256882960693
646.5723730303691,1157.8723919133831,1041.0251847183736,Interpolation,1050.6256882960693
646.575932969525,778.1141579029012,1003.2262525934195,Destructive,1052.4000801983186
646.5902102089108,1157.8723919133831,1075.376931280765,Interpolation,1052.4000801983186
646.6156900626477,1157.8723919133831,786.7394500447841,Interpolation,1050.777230343681
646.6333882733913,1157.8723919133831,1280.681552873697,Destructive,1052.7701895050027
646.6339522757472,673.2869641499091,980.4607787649834,Destructive,1051.6349891044563
646.6926509342106,665.890675400638,764.829506204236,Destructive,1052.9734687625678
646.7280791033284,1157.8723919133831,836.6997917545771,Interpolation,1051.7125460418183
646.7639792359355,1157.8723919133831,1137.9980971461468,Interpolation,1053.6296486222238
646.7687141151431,1157.8723919133831,753.882682931583,Interpolation,1052.1751908277215
646.77192952226,1157.8723919133831,789.6160732943451,Interpolation,1052.1751908277213
646.785336974282,1157.8723919133831,760.0065640370634,Interpolation,1053.788308085011
646.8031758219724,1157.8723919133831,882.8275112386461,Interpolation,1053.788308085011
646.8679906613875,781.8516523994364,516.9346753917487,Synergy,1053.788308085011
646.9090060316146,1157.8723919133831,864.1765084559795,Interpolation,1055.536049245326
