route_count,total_fleet,sample_size,route_index,route_id,allocation_mean,allocation_std,allocation_cv,demand_mean,demand_std,demand_cv
8,80,500,2,R002,6.71428571,0.48795004,0.07267341,15841.57142857,883.46889346,0.05576902
8,80,500,3,R003,4.14285714,0.37796447,0.09123280,6466.00000000,932.23459136,0.14417485
8,80,500,4,R004,10.71428571,0.48795004,0.04554200,40334.85714286,3011.03284763,0.07465089
8,80,500,5,R005,13.57142857,0.53452248,0.03938587,62962.28571429,5767.23211238,0.09159820
8,80,500,6,R006,15.85714286,0.69006556,0.04351765,84885.71428571,5988.72509288,0.07055045
8,80,500,7,R007,6.42857143,0.78679579,0.12239046,13921.71428571,4117.52910187,0.29576308
16,160,50,0,R000,20.57142857,3.64495738,0.17718543,6327.00000000,2062.94813313,0.32605471
16,160,50,1,R001,6.00000000,2.70801280,0.45133547,627.14285714,544.85638125,0.86879150
16,160,50,2,R002,14.28571429,2.62769136,0.18393840,2992.14285714,1162.55600992,0.38853626
16,160,50,3,R003,4.71428571,1.60356745,0.34015067,361.42857143,197.16647547,0.54551989
16,160,50,4,R004,12.57142857,1.81265393,0.14418838,2279.71428571,521.49743185,0.22875561
16,160,50,5,R005,1.42857143,0.78679579,0.55075705,25.00000000,45.35416188,1.81416648
16,160,50,6,R006,4.28571429,2.69037084,0.62775320,380.71428571,373.74934305,0.98170559
16,160,50,7,R007,5.71428571,2.21466971,0.38756720,575.71428571,418.64810772,0.72718034
16,160,50,8,R008,2.85714286,3.18478526,1.11467484,248.14285714,425.62598157,1.71524575
16,160,50,9,R009,13.14285714,2.54483604,0.19362883,2523.85714286,810.41191760,0.32110055
16,160,50,10,R010,16.28571429,2.21466971,0.13598849,3782.14285714,886.24440357,0.23432336
16,160,50,11,R011,11.14285714,5.17779140,0.46467359,2146.14285714,1656.36121549,0.77178516
16,160,50,12,R012,12.00000000,3.91578004,0.32631500,2281.57142857,1175.05685779,0.51502085
16,160,50,13,R013,7.42857143,2.14919697,0.28931498,869.28571429,444.38336088,0.51120518
16,160,50,14,R014,13.42857143,5.12695956,0.38179486,2918.42857143,2011.74806716,0.68932579
16,160,50,15,R015,14.14285714,2.19306266,0.15506504,2955.28571429,856.39140473,0.28978295
16,160,100,0,R000,22.00000000,0.81649658,0.03711348,15120.57142857,1826.81305896,0.12081640
16,160,100,1,R001,6.57142857,1.90237946,0.28949253,1541.85714286,945.90898586,0.61348679
16,160,100,2,R002,14.42857143,1.13389342,0.07858667,6630.57142857,922.58474898,0.13914106
16,160,100,3,R003,6.28571429,1.60356745,0.25511300,1281.42857143,579.35879992,0.45211946
16,160,100,4,R004,11.57142857,0.97590007,0.08433704,4351.28571429,1107.78347979,0.25458762
16,160,100,5,R005,2.42857143,0.78679579,0.32397474,189.28571429,130.67990701,0.69038441
16,160,100,6,R006,5.14285714,2.03540098,0.39577241,961.42857143,518.38526765,0.53918230
16,160,100,7,R007,5.85714286,1.67616342,0.28617424,1179.14285714,655.19575410,0.55565426
16,160,100,8,R008,5.14285714,2.96808420,0.57712748,1028.28571429,816.04977673,0.79360217
16,160,100,9,R009,12.28571429,2.49761791,0.20329448,4841.85714286,1751.07380661,0.36165334
16,160,100,10,R010,15.71428571,1.60356745,0.10204520,7947.85714286,1303.94726741,0.16406275
16,160,100,11,R011,8.28571429,2.42997159,0.29327243,2508.85714286,1586.43903429,0.63233534
16,160,100,12,R012,10.42857143,2.37045304,0.22730372,3454.85714286,1377.59602552,0.39874182
16,160,100,13,R013,7.42857143,2.29906813,0.30948994,1865.71428571,1041.41741780,0.55818698
16,160,100,14,R014,13.71428571,2.28868854,0.16688354,6402.57142857,2453.21828470,0.38316141
16,160,100,15,R015,12.71428571,2.56347978,0.20162200,5327.14285714,1738.32078250,0.32631390
16,160,150,0,R000,21.71428571,3.40168026,0.15665633,22951.28571429,6918.56400597,0.30144560
16,160,150,1,R001,6.42857143,1.71824939,0.26728324,1946.57142857,906.50277755,0.46569202
16,160,150,2,R002,13.42857143,1.61834719,0.12051522,8583.28571429,2197.51721376,0.25602284
16,160,150,3,R003,5.71428571,0.95118973,0.16645820,1610.00000000,536.71873453,0.33336567
16,160,150,4,R004,10.14285714,2.26778684,0.22358462,5357.00000000,2273.46167771,0.42439083
16,160,150,5,R005,2.28571429,0.75592895,0.33071891,267.00000000,235.06382112,0.88038884
