weight_tolerance,took_alternative,boarded_expected,expected_min,actual_min,delta_min,rep
0.0,False,False,36.288104134255676,36.666666666666664,0.3785625324109887,0
0.0,False,True,65.23897808383958,112.33333333333333,47.094355249493745,0
0.0,False,True,31.862612620571507,93.16666666666667,61.30405404609516,0
0.0,False,True,26.66917758897424,31.0,4.3308224110257605,0
0.0,False,True,81.64744163757996,88.33333333333333,6.685891695753369,0
0.0,False,True,65.34484682230779,69.33333333333333,3.988486511025542,0
0.0,False,True,18.682645349671404,25.333333333333332,6.650687983661928,0
14.4,False,True,2.573522858581888,5.666666666666667,3.093143808084779,0
14.4,False,True,12.87343049138729,17.166666666666668,4.293236175279377,0
14.4,False,False,19.779529796351888,20.166666666666668,0.38713687031478017,0
14.4,False,True,12.835753505901389,19.666666666666668,6.830913160765279,0
14.4,False,True,17.064329654685277,23.333333333333332,6.269003678648055,0
14.4,False,True,16.603614328625344,17.0,0.39638567137465586,0
14.4,False,True,24.87572062455991,29.333333333333332,4.457612708773421,0
14.4,False,True,4.723539369650936,10.666666666666666,5.94312729701573,0
14.4,False,True,30.54257658584368,34.166666666666664,3.6240900808229846,0
14.4,False,True,38.33849062482605,38.833333333333336,0.49484270850728507,0
14.4,False,True,4.836954868482929,7.833333333333333,2.9963784648504044,0
14.4,False,True,1.0035193257423378,1.8333333333333333,0.8298140075909954,0
14.4,False,True,18.4195407177482,22.833333333333332,4.413792615585134,0
14.4,False,True,12.452298184874332,14.0,1.5477018151256683,0
14.4,False,True,22.842038620384212,35.333333333333336,12.491294712949124,0
14.4,False,True,36.493916177805716,40.0,3.5060838221942845,0
14.4,False,True,12.458162401418212,19.833333333333332,7.37517093191512,0
14.4,False,True,18.218096552549696,21.333333333333332,3.1152367807836363,0
14.4,False,True,14.800512133651724,17.333333333333332,2.5328211996816083,0
14.4,False,True,23.364477231850284,41.333333333333336,17.968856101483052,0
14.4,False,True,31.015893253983286,36.0,4.984106746016714,0
14.4,False,True,16.497647289506283,20.333333333333332,3.8356860438270495,0
14.4,False,True,34.030138808621814,37.833333333333336,3.8031945247115218,0
14.4,False,True,7.246401160275167,9.0,1.753598839724833,0
14.4,False,True,17.1981068808716,53.0,35.8018931191284,0
14.4,False,True,21.270828410443585,33.166666666666664,11.89583825622308,0
14.4,False,True,15.629238191348168,19.5,3.8707618086518316,0
14.4,False,True,21.884537285863622,29.0,7.1154627141363775,0
14.4,False,True,16.65057716508634,22.166666666666668,5.516089501580328,0
14.4,False,True,4.5951638860286685,9.166666666666666,4.5715027806379975,0
14.4,False,True,48.5919147502468,53.833333333333336,5.241418583086535,0
14.4,False,True,28.242960580690493,41.333333333333336,13.090372752642843,0
14.4,False,True,34.6041299236345,40.666666666666664,6.062536743032162,0
14.4,False,True,27.28387135778169,34.333333333333336,7.049461975551647,0
14.4,False,True,53.828513104674464,55.833333333333336,2.004820228658872,0
14.4,False,True,17.00981590738457,19.0,1.9901840926154293,0
14.4,False,True,47.71080654736452,49.5,1.7891934526354802,0
14.4,False,True,10.055904166184346,14.166666666666666,4.11076250048232,0
14.4,False,True,54.510849279906296,58.0,3.489150720093704,0
14.4,False,True,45.2987908253693,47.333333333333336,2.0345425079640336,0
14.4,False,True,32.92294006940372,40.0,7.077059930596278,0
14.4,False,True,48.665761818268166,54.333333333333336,5.66757151506517,0
14.4,False,True,42.411957191603655,50.166666666666664,7.7547094750630094,0
14.4,False,True,45.43731623708079,54.666666666666664,9.229350429585871,0
14.4,False,True,63.09261952289641,63.666666666666664,0.574047143770251,0
14.4,False,True,46.90037098341811,58.0,11.099629016581893,0
